a.trip_identifier,a.driver_identifier,a.vehicle_identifier,b.risk_segment,a.trip_status,a.begintrip_timestamp_local,a.endtrip_timestamp_local,c.distance_miles_p3,c.trip_fare
9764303f-b617-4c96-99aa-cc842f6cdd67,48892d5a-ab63-4309-a246-cf19470cad9f,70753594-3afe-4b82-a710-19d88bd16459,Licensed,completed,11/27/2019 23:01,11/27/2019 23:12,\N,\N
9b796b4a-9924-47f5-90ac-4cb5170432e5,0f6c9c30-86fb-4695-8a92-5c76fd081d3c,b03879df-2024-4e41-8c61-471c6c482079,P2P,completed,2/2/2020 19:31,2/2/2020 19:43,9.847035698,4.737550547
ba703f93-53a1-492d-8ecb-26a4f3304ba5,eab04ea7-2ce5-43a9-9fd7-d28c9f68859c,f0a7af18-2c92-4a38-9bdb-cc2d9e2a776e,Licensed,completed,6/28/2021 20:37,6/28/2021 20:39,3.261726981,0.862773408
bfd7696c-8551-427b-9d37-f0e8a35ce5a0,d943cab6-528b-4c5b-bb65-b004978f8d94,a6ecfce0-894d-4067-a39a-df474bf84154,P2P,completed,9/30/2021 14:37,9/30/2021 15:10,2.290112897,1.107435879
d770686f-9e38-4967-b0f4-fcd60798c1cd,0b6a8653-5017-4e2a-9a97-d75c1a7bf3ea,f98db8d5-7f8e-4f15-a06f-dd326bec254b,P2P,completed,6/5/2021 20:36,6/5/2021 20:36,3.255620255,1.359422925
dcf2fe50-83e1-43a1-a96b-3dc160f71f2d,a24f9d64-faa6-49ad-b4f6-ce5bce01ffae,8645539f-f30b-4212-b041-768acc7baba7,P2P,completed,6/23/2020 14:15,6/23/2020 14:44,2.226133296,1.076702035
eb5df667-d9c2-4dfd-b7cf-567cab2a4e41,5e2b9937-19b6-4af9-a8ad-c4f62ec8fe7b,8e170d5a-ea9f-4445-9c35-dda178cbfe69,Licensed,completed,2/4/2020 5:25,2/4/2020 5:56,5.743874492,1.513754525
feebc503-dd78-48cb-8878-7750ebc37157,e56ca5ac-0ecb-43bf-a985-20b5e28dae9d,d7fdb083-765a-4b57-9130-ee0d3660d067,P2P,completed,10/17/2019 19:36,10/17/2019 19:53,6.489851937,5.241334195
bfc549e5-fa77-4b75-8746-c297faf34338,6fd99859-74f3-4e41-b4c6-700f1955c3e4,e2c27b26-4b55-4bc2-ac7c-82d14c75ffe2,Eats,completed,12/14/2021 17:47,12/14/2021 18:34,6.76,1.665953109
a4f0a70b-05b8-484c-9528-5a435df56948,c687cee5-3e25-49dc-b40f-8d450b50e65e,48158141-3c8c-43a5-94f2-f1b156b12f8d,Eats,completed,1/20/2021 10:37,1/20/2021 10:56,10.05,3.973471098
173dc8ec-ed5f-48b6-8fdb-fd636f6c6dac,38e039b2-c855-4857-a013-9fadbad6d153,723036ca-b11f-41ab-83b6-e4a4a5778ecc,Logistics,completed,11/22/2020 14:36,11/22/2020 14:43,0.65,0.082456936
2dd8d5c2-21c9-4639-9568-de5e2e3ccdd7,7f5feb08-1b7d-4eaa-be5e-f2c26e28279b,d6e238a7-80ca-4544-ad4c-57d6c9b85603,Logistics,completed,4/18/2021 17:16,4/18/2021 17:34,2.37,0.220572937
4867a966-b9f8-4155-a825-db6652649d8e,41ee7829-5532-4bd3-91f6-65eb6f65317c,8729c652-94ba-4d95-84c5-f3088d772ee1,Logistics,completed,7/24/2021 17:23,7/24/2021 17:53,0.63,0.061175928
bc1c3957-1d56-44a5-9f15-292398722e19,bfb84d81-878a-4af1-9236-2aebc5a1dae8,76a99d2b-8ad7-43c5-b348-6e7ef150f799,Eats,completed,1/2/2021 1:30,1/2/2021 2:03,3.45,1.368844841
a5ccfcb8-e051-43c9-92e0-7b38fb42e181,7d4f5501-2a92-4f77-9791-6e6b30709ea1,d77507dd-84d7-4a39-b7f5-29828bc2e4ac,Eats,completed,7/7/2020 13:30,7/7/2020 14:06,1.37,0.625653812
c85b3ab1-0512-4d3d-b018-9fa0ef4e5e96,8ead1c36-f2d5-4ac2-994b-8cbdaca43b66,54a4028a-4a8d-45ab-820f-ff3c1154d6bf,Logistics,completed,4/17/2021 15:42,4/17/2021 16:36,0.19,0.024430633
007d2288-ef26-4642-8f17-985eb9c76ac6,c5dcce96-73a6-4096-a022-f792b877aebb,44ed35a4-c9d2-41ec-b522-aa65c099c577,P2P,completed,3/2/2022 15:45,3/2/2022 16:13,8.586053525,3.923133542
0f6289eb-3234-46ce-9d7c-d5895d16df34,05341cec-80e9-43c3-9b83-383801890a51,2c114f3b-59ff-4807-a6f9-e01decfb7586,P2P,completed,8/22/2019 13:34,8/22/2019 13:58,6.935286153,2.303586537
27213aa6-29d0-4a51-9580-bc36a3200ebe,d376b24b-68a1-40a6-900a-938554f5e7b7,be9e8ceb-32b5-4175-a96b-e45738a30a68,P2P,completed,2/14/2022 22:38,2/14/2022 23:03,41.93141424,33.82458801
2c64bc2f-cc53-4a17-8a08-d4fab3888d80,aa1cf540-3c2a-4c54-b770-61558eed48fa,aacf3c9c-e0cb-4f46-91fd-633d0503c1fe,Licensed,completed,3/25/2021 9:44,3/25/2021 10:32,4.334270181,1.144064253
2f82781e-c759-425f-be68-b666bc58494b,8b184ebd-a009-48e3-8ca4-275a82a962de,314a35ba-a7f6-4df3-8a17-68b8b3bbab95,P2P,completed,11/11/2021 8:07,11/11/2021 8:29,5.055899024,4.272415641
3768558e-a432-4002-8865-1e67dfaf55c4,9b4e844e-df3c-421f-bb4e-f6725040a2bd,dd3701cd-d2dd-4ca8-afe4-af0de90a0d72,P2P,completed,9/3/2021 17:11,9/3/2021 18:07,2.353358139,1.135697796
382af836-031e-4532-b2b4-8f034cd99e80,691a5c8a-4fcf-488f-bef3-b5f9f85a8b10,213001a0-b59d-4dbd-8f63-481369f495b8,P2P,completed,4/29/2021 8:51,4/29/2021 9:01,16.78501228,8.070342376
4965cee5-c0e4-43b5-acc4-6509e805fc1d,f6a9e6cc-9127-4f66-94c8-ad32d27ef81b,4397c86d-3223-4d55-813a-0712146a0ec1,P2P,completed,4/11/2021 8:07,4/11/2021 8:28,16.12038712,13.00826132
4ba1c097-18ea-4175-9f8e-1b65cb10648b,fd0a3554-4622-4f72-9577-582a60e02d34,559b9ba4-be43-47f4-b782-bab37dee1063,P2P,completed,1/15/2020 22:25,1/15/2020 23:11,2.766366628,2.306723398
500c9acb-80e0-451d-beaa-7e8144869df1,6059ce48-5350-4435-bbbc-d4a3e10eed4c,f0d6098a-96cd-4303-89b9-53755da143b9,P2P,completed,3/20/2020 8:17,3/20/2020 8:29,6.035609847,2.901223124
630d0a68-7a8c-4ad4-9af8-1fe7a1b17198,b39e318b-a38c-4a83-b1fd-dbb3b74ec938,4a23d5e4-ba42-4b15-99fa-6e8f5a6299b9,Licensed,completed,6/10/2021 17:02,6/10/2021 17:08,3.660167257,0.96727046
7656985a-4ca1-493a-80c0-0d5a1b602c80,7151013d-bc9b-46eb-b810-25b18300e889,a2426386-ccdb-4ddb-9414-4654f5b6479e,P2P,completed,2/8/2022 17:12,2/8/2022 18:01,11.73072578,13.18477045
83740135-2e49-413c-aa79-902ab4e6fbd2,15aebf61-34a3-4052-bd38-d08e63ef3818,85cecd37-0661-40f0-8a4e-42be913e3c36,P2P,completed,11/3/2019 6:58,11/3/2019 7:38,4.507612159,1.23308671
8cb46ce2-7385-44d6-a77b-e1d273a00507,5562741d-0cf8-4199-a2ea-c4879242992e,22259ce2-d726-45c5-bc9d-dbb0667a4b20,P2P,completed,8/20/2020 15:09,8/20/2020 15:48,0.658783709,0.554912821
b267c973-ca3b-42d9-a87c-d4fcf45caa53,077d1958-83c0-4168-be40-a2df71db52cf,319003d0-72dc-4a29-98f1-a0de74563607,P2P,completed,7/6/2021 20:58,7/6/2021 21:00,0.919023982,0.447979117
c374b664-1772-4f7a-affb-83506791a4cc,e226ac15-7e9a-41e2-81e2-c15666ded49d,1835027e-4f9f-41e8-8b01-32f21212d968,P2P,completed,5/8/2021 3:05,5/8/2021 3:58,3.179719212,1.531912265
8c7a96f4-dbb7-4c2e-8258-d68590811b76,d93914ea-ff70-410d-b7ab-4dd96d755e46,60719841-6db5-4824-b281-e606dabd11c4,Eats,completed,1/23/2021 13:51,1/23/2021 14:03,1.79,0.815211201
dd882e22-6b24-433a-badb-7689bec20cae,5c7d8ff1-c009-4483-a8b8-69a1da8ddb18,35586988-24d5-4dfe-883a-f8dcd2adcb82,Eats,completed,11/27/2019 4:01,11/27/2019 4:35,2.66,1.207865793
e9aa7f7e-0b8b-4774-ba69-5669a46cd58f,ee168bfc-b09e-434a-813e-bbb3fcdb96ee,60efa9fd-bd43-43c9-b8ac-9dfa5e4b33b4,Eats,completed,11/30/2019 19:30,11/30/2019 20:01,1.29,0.329305776
93ddab00-b248-4c8b-ae8c-c6a80cd6a347,a7aa8f01-7ed5-4796-ba9d-2d7eedecb0b7,6cd81d3a-0f9c-4630-85dc-0fd1c0779f5e,Eats,completed,11/28/2020 23:46,11/28/2020 23:47,1.3,0.740355488
021d670f-b139-42c6-b89a-6a188b7928a3,c2826cf6-7024-4bfb-9af2-ba26ea804b93,98ea09b0-b4d5-4dee-b3a7-84ba15bb8ad4,Eats,completed,9/20/2019 20:43,9/20/2019 20:49,3.48,1.380684051
860034d5-7954-4a33-b8ec-d4e5cb6b9a96,80eb9b4b-6c31-4724-abd0-5d6626bb9eeb,1df245f6-8706-4c4b-b551-3a944243d38f,Eats,completed,9/20/2020 12:21,9/20/2020 13:13,8.29,3.278904096
3dd04553-1df3-4bcc-a977-a369b901b726,9cc073db-d636-48f2-8898-7891cfadda74,c53ab7d9-6408-48fb-b0f2-98e95a74a8d7,Eats,completed,1/6/2021 10:55,1/6/2021 11:51,1.93,0.768991521
d18e36c2-88a5-4fe9-b0ae-9ccb05a830b3,62314f95-4c86-437d-ba85-786e1d115a5d,d60d400e-f4c9-4bf0-a7c7-9586a5c551e1,Eats,completed,7/6/2020 9:17,7/6/2020 10:10,10.29,4.06818478
350806c1-a96d-47dc-bdda-2a68d2f3916a,8b4f7562-30d0-4669-9327-1b68962b6f90,64180e41-9733-4d10-a6c1-3b1510789e6a,Eats,completed,8/12/2020 11:57,8/12/2020 12:21,2.41,0.673461296
01dd601e-e88c-4c2b-a7a0-2d15969d04ca,6688fbd4-79a1-436f-83b4-3f895e6b3033,294c3f9b-bb96-444e-9d78-f9d066d86a4e,Eats,completed,11/4/2020 22:40,11/4/2020 23:18,5.72,2.322800827
f2a3e0ea-f60e-43e3-bae3-8271c0e91356,986491fb-4671-49a2-9251-d45fee1e0261,49680dd4-5a9e-4c03-817c-53aa93355815,Eats,completed,8/28/2019 20:17,8/28/2019 21:14,6.01,1.465098755
0cd630d4-c041-440d-bd59-6aa877ca215c,f1570d0f-7fa9-46dc-bb74-aa0ade8d4ae3,4870286b-eec8-4dd2-a063-cdd72a08bd52,P2P,completed,10/25/2021 21:41,10/25/2021 22:26,2.098163686,1.427813729
16ef3ac1-71af-42c8-9b1f-fcb57c2626f0,1ec9a64f-358c-40c4-b0b3-8c2955261816,b02dc698-c638-44c1-ad31-47b7e56014fd,P2P,completed,6/9/2021 20:17,6/9/2021 20:30,1.612132569,1.347330809
31e43888-0544-4a27-96a9-d793b8fa35db,89f6716a-64ef-4f91-a28b-dcc4fe482bf2,9e4faeb3-cf40-4b18-8069-2a24a177a465,P2P,completed,5/4/2021 15:37,5/4/2021 15:41,4.100316923,3.314198896
4b7b49ae-30a1-4496-90c1-ffef97c2f16e,29559b45-2f9a-435f-964f-1ef35da9ac8f,2bf7019e-5b30-4f25-b8fa-812bf0ad5e44,P2P,completed,11/23/2019 0:38,11/23/2019 1:08,3.584042269,3.65941999
57bcc185-adf2-4015-8d67-e542605378dd,ad7d8132-a09e-4c1b-89fe-40d936747399,0c5fba0a-2062-4ee2-a03f-45d0a2001f72,Licensed,completed,11/20/2019 15:11,11/20/2019 16:10,18.77255821,4.930725938
85288fc2-8510-4e60-bc60-564d47d7ad68,4d8efcaf-46e3-42f9-827e-4d1ce822c8b9,0e5db852-2a85-48e3-9c5c-6a767b478ec0,P2P,completed,4/10/2021 8:25,4/10/2021 9:17,16.49934503,16.81991623
907ad469-5c34-47a6-8669-edb87e854a3d,7101e491-4bc2-4a79-97e2-fcd75906b274,20488d12-eca2-442a-9e14-63bedb90b39c,P2P,completed,5/31/2020 22:30,5/31/2020 23:21,1.2629156,0.614001703
aa971387-bad8-40fd-bfc0-9886879ab6bb,b06a73d1-3b56-4899-a132-ec411b6a82e8,7f121f78-e67e-4010-b99c-24a4db0fce53,P2P,completed,9/17/2019 15:22,9/17/2019 16:06,3.416353103,2.846988348
b09154c8-69b3-46b8-9883-83e23e89b67d,d9812726-12b1-457c-8185-46b91bf21c38,7aeb3e8e-575c-4ac9-bfb7-e9cdc75e3e41,P2P,completed,5/16/2020 7:40,5/16/2020 8:18,11.47695721,11.70217975
b487c709-f4b7-45b0-8071-8882e727b697,5c681506-b6d4-441a-ad52-1e9008f00f5a,48aea35d-431f-47eb-8142-ee19b1a6eb56,P2P,completed,5/15/2020 22:02,5/15/2020 22:52,3.486325786,0.91482477
d8a8836c-1e8b-4532-96a9-588ecbcb320b,1cbc1751-0398-46dd-9b54-a37d95f9f61b,a5080f86-88a4-4861-b22e-9b60810d7107,P2P,completed,5/9/2020 4:56,5/9/2020 5:35,6.917944436,1.888526267
e8683799-3dc1-4b6d-90e5-ecb4961a541c,9a4431e8-6558-4f82-9a5d-778860795192,efed4111-cf2c-39ee-a6c4-17880b396745,P2P,completed,11/11/2021 13:14,11/11/2021 13:37,1.584943107,0.570470359
f3733be2-1a80-4d31-9fa1-45da26a85d4c,06ed2a1c-d0d3-4521-85cd-6213c72499cb,de5f05a3-347e-4bc6-b35c-d206c718a682,P2P,completed,11/16/2019 12:42,11/16/2019 13:23,2.331489573,1.69414078
a9b14112-e2dc-4253-ac8d-c8e48a9d5564,c365c78b-b6f5-49f9-bf8a-f68ace8f8ac7,ed6ead3b-fa92-48a7-aff2-259c31535f73,Eats,completed,7/13/2020 11:19,7/13/2020 11:35,3.86,1.258006686
2f3aca1c-8139-4eea-b255-9a0bcfaaf4a6,b90e0743-8f18-494f-b3f7-8f7ec39a676d,b9e6c5bd-56a6-413f-a31e-e13934586f9a,Eats,completed,9/11/2021 10:44,9/11/2021 10:54,7.4,2.052700681
eef5fef9-1dd4-4524-a45c-e4d8c32ea594,892dc999-639b-4d7c-bcf2-77b4fbf72446,6b94aef1-d9fb-4b2b-8ea8-65626a700984,Eats,completed,11/23/2019 19:27,11/23/2019 19:34,1.65,0.675258305
42651226-57d4-4cf6-b656-915132ff2d85,03c2e62c-d951-4157-84bc-67b77d3ef365,bf4e50b8-02c5-443d-bc59-263fc753409d,Eats,completed,4/10/2021 11:37,4/10/2021 11:53,2.25,0.497718923
c774ef0c-6215-4fd6-821d-06289bd3d2d9,2f8b09d1-6971-451d-9085-373b534bd595,37a6804a-87e7-4f2c-a6ee-3126670cb681,Eats,completed,11/11/2020 16:39,11/11/2020 17:01,1.22,0.276806465
02f3c467-918e-47f4-8e88-278887b24ac4,c9a425bc-e26e-4bec-abce-e870fe632f93,74ef1eb9-ad02-4cb1-ad78-8e12e6523865,Eats,completed,11/14/2021 18:28,11/14/2021 18:46,10.73,2.681782285
9d7bef8b-6636-48f6-ac05-152e01f65480,a34d0ce1-1f5b-4e22-8311-5ca9771f26d2,e7f9189a-5821-495c-8dd5-3c4b2b8e321b,Eats,completed,11/27/2020 12:10,11/27/2020 12:18,3.28,2.592091822
37bd1075-6092-4d9b-beaa-e56349edada8,1ed1db81-1663-48b5-ac58-961fa8bd5c97,fc8014f5-b5c4-4512-864f-d9034443564a,Eats,completed,1/6/2021 15:42,1/6/2021 15:56,4.31,0.944683514
f5b80be7-e161-4a09-a935-f96a28f918f6,17cb2db4-e2a0-4e6f-a6e1-f78cbd3710aa,2832f6cb-b664-4000-b0e6-095f0fb60cf9,Eats,completed,8/18/2021 15:40,8/18/2021 16:06,3.17,0.69675392
59709fc6-e5d7-4404-a317-4f6b53e608b3,9acc8156-4d78-4d8c-a4f3-b85a4da9147b,4b66f9e0-9246-4293-82f7-bed8e5c9725c,Eats,completed,1/13/2022 13:50,1/13/2022 14:47,2.27,1.031848217
810cd433-7574-4254-a927-f9307ef717bc,edd75bda-b999-4250-bc12-2777ddf3810c,8e199007-5f89-403d-b477-06c6685eb903,Eats,completed,11/8/2019 13:14,11/8/2019 13:33,6.16,1.367945783
a257fcbf-fbcf-4a83-89bb-0155fcab1cde,9a2c1281-6b81-41b2-81b9-209ebb4d3d8c,0d685faa-5acb-48bc-9b80-d0eccd14b773,Eats,completed,10/27/2021 9:45,10/27/2021 10:30,1.41,0.353289892
840d0910-8417-43b3-bafa-b117676d41e0,45c20192-5292-4d8b-9062-25bb10accfd5,a00c82a3-1240-48bf-9d36-a1e4d2c33c66,Eats,completed,10/11/2020 9:50,10/11/2020 10:19,0.52,0.242025762
a446d95b-94a3-4e1a-99a0-508462fa86a2,109d28c3-fb62-4279-81ad-715c2a135193,37605b0f-3401-4a04-a52b-1ab5424e190b,Eats,completed,1/6/2022 10:50,1/6/2022 11:42,1.42,0.467427075
8eb5c82d-2ae5-4d18-8efd-36034db0cf62,307c8ca9-412d-4e19-8eaa-d08e0d4ae93f,162dab40-a26c-4166-ac04-9605c0b05b90,Eats,completed,5/17/2021 10:26,5/17/2021 10:56,1.25,0.283433494
868c1e8f-3646-4715-b3c7-d0be6863781b,801d6563-a85e-430c-af76-568b8b437fd7,563973eb-f41f-4f5a-b02d-01cf7456589f,Eats,completed,3/28/2021 18:47,3/28/2021 19:44,1.4,0.55983214
3f1a377e-4c03-4124-8b98-b391a049980c,2b7efa18-6e31-4a3b-956c-bd812416c642,41e132b7-6e14-4b41-af36-b27c5d0e7c0b,Eats,completed,8/25/2019 19:15,8/25/2019 20:14,7.81,3.728318708
8b0e3eed-6630-44a2-a4b5-761cec543ffa,7cf4bc39-f75f-4b50-acaa-d80ea041dbda,ae6cfc94-b32a-4997-9eb4-5c01afb20dce,Eats,completed,8/30/2020 12:38,8/30/2020 13:30,2.8,0.616285542
ea5a001a-216e-4d9b-9079-11b63f16e05d,6ae9c9b8-4f9e-498c-ad9c-871299334b3c,7617cbc4-6360-414d-9eef-003fb92b0849,Eats,completed,4/21/2020 18:34,4/21/2020 19:24,1.16,0.255512358
20710672-01e0-4b85-9b24-4f31f89c4a5f,a04389b2-625c-4e89-90e2-b01789efd51c,4288bea9-b232-45dd-8c24-6cc5b2dbf7fa,P2P,completed,12/11/2019 10:20,12/11/2019 10:29,9.99681389,4.800497432
2be7b67d-6d6d-4a31-a067-93c6cc55ea22,39a25798-13d8-4d2e-aece-ba61a980207b,95f9aac8-e795-46cc-881a-04e722304c71,P2P,completed,11/1/2020 12:30,11/1/2020 12:44,8.889183132,8.982425645
325d48b3-a063-47f1-b2fc-1a3ec5e95916,ce3e47d5-6f63-43a2-ad7e-8613af45bcce,a7aa969d-7aab-4ef4-88bb-4e582ba18ec0,P2P,completed,1/18/2022 0:30,1/18/2022 0:56,10.10042426,8.52790086
4d3e9fbb-d3e6-4fa4-8233-08b0ebf70e2a,d7251374-0610-485c-8ad6-d0e6be82c6ef,99ae3e67-3da2-4de3-bf96-82951bd2c67e,P2P,completed,7/20/2019 0:18,7/20/2019 0:33,3.581729303,1.085118387
53c15aee-f9bf-4fb7-9fb2-0bffb782dc0f,efd03e3a-7850-47c6-b22c-86d0764a124f,d12b5d47-d9da-46d6-a97b-1660a4c1a811,P2P,completed,2/6/2022 22:19,2/6/2022 22:51,5.237792004,4.231560796
78ca56d0-5c45-4348-84fc-60d7b010b745,23ac91b6-b649-4e9c-8998-2cea2273a24d,ae406a26-061f-4e4b-aa0e-d9eddf13e8ec,P2P,completed,8/16/2019 20:13,8/16/2019 20:47,6.276824747,2.626024581
79b760b5-3f69-4bd1-ba17-625ba461f7b0,6fcbb6b5-a559-4f0e-a35b-b17c222eb187,d3005848-d64b-4f93-b053-773a24a12d0f,Licensed,completed,2/7/2021 2:19,2/7/2021 2:49,16.0292547,4.079168402
7b16028c-7af7-4511-9455-a3724eec8f91,8228a638-9314-44c7-9199-9df044f93d60,0534aa99-95c9-4dc9-ba11-bd99114188df,Licensed,completed,7/6/2020 18:32,7/6/2020 18:36,21.14251795,5.552284097
9289d86f-73cd-4314-9b8c-ee3b65bf5652,eff6328f-357a-4d58-8a55-246207d4512b,59765c6f-56dc-4e07-ab61-ab1db4ccdb9b,P2P,completed,4/30/2021 10:45,4/30/2021 10:45,1.559968413,1.572507948
9bb007e7-e2fd-44f5-963a-685c0fc128fb,a5226f69-e9bf-4a89-9927-2948ccb52211,16edb135-efe6-47ff-8208-3f9db55bbf3c,P2P,completed,1/13/2020 15:04,1/13/2020 15:46,2.19609793,1.06029641
ab2b3735-8539-4abe-a348-00a34249647e,736ee4f2-0a83-4aaf-85b5-61e0d3143192,2ab68f5f-61fb-43bb-a15c-b6a482fc53f0,P2P,completed,4/20/2020 16:15,4/20/2020 17:12,18.65904835,13.50693636
ac6afb00-741c-42a1-af5b-7734bde6dea0,5cd6045b-0dd3-4f43-8ee1-7df944d58173,a209316d-78dd-48b0-9ed0-98ea5367c1f0,P2P,completed,6/28/2020 8:41,6/28/2020 9:27,3.782587143,3.057953111
e15f0107-0816-4567-a7b5-48f0498b0338,e5bdcf2b-eb6c-4e65-880e-9cb70e5c6e60,5021f25a-bffe-4322-9185-795a5371e35a,P2P,completed,9/21/2021 20:11,9/21/2021 21:09,3.306248258,1.595556239
e60bc041-e90b-4ae6-9942-4f4d3cf9d03e,b8d83043-a635-4196-be3b-7db5d3a45372,c5377202-318b-4881-b886-107ad88f917b,P2P,completed,1/10/2021 15:52,1/10/2021 16:18,8.050634214,8.135772823
eee0f922-b1dd-430b-a88b-962eaf045ca4,c5dd9338-bf16-4ead-9ba6-4da08d622408,36f2657c-b2a1-409d-aec4-c645fbccaf59,P2P,completed,3/26/2021 20:19,3/26/2021 20:29,0.922226906,0.785312336
f7499352-4055-4713-a13a-eb675bceb505,dbd331c0-7b05-4b8f-a1a9-04b135acd458,d1cd4027-a953-4c0d-8310-8f1136cf83a5,P2P,completed,5/19/2020 11:28,5/19/2020 12:09,4.357979517,3.683661295
d8955c41-f346-445a-a531-3ea07e69db07,3194e912-a56b-4581-9efe-3e37f9f75a55,26d15964-a776-42f7-8740-077009393fb3,Eats,completed,12/9/2020 17:54,12/9/2020 17:57,3.05,0.659869218
a9726458-0ef0-4ed4-9b0a-8029c4f75eed,ca780101-d13e-47a3-b6c2-0fa8445023aa,05a21cc2-6a2e-4995-8a43-053aad7621c8,Logistics,completed,6/24/2019 19:35,6/24/2019 20:15,1.21,0.130012382
fb99dcc5-c406-4d01-8291-3bc62723cd64,960c5061-ce30-4555-b895-fc2ebc2cef00,6b030ea7-013c-44be-94e1-fcf1254a7457,Eats,completed,2/1/2020 23:00,2/1/2020 23:13,3.26,0.798069053
7fd3fd98-4d59-4cf0-a5a8-df782b5906c8,d44de749-a135-4087-8e21-beb00e1d8da2,affbcbb7-c885-4847-8e78-fc4d619c9122,Logistics,completed,6/15/2019 18:59,6/15/2019 19:42,1.73,0.157868201
026b85a8-a6e1-4aec-876c-26d86eaf60df,489ef5aa-730c-46d6-b61c-2d6a412c6cc2,e4b4d9dc-b1ee-4781-9fa6-6dfae47fe748,Eats,completed,1/15/2022 20:04,1/15/2022 20:45,2.54,0.618882742
8aedee49-1055-4b45-8031-23adfad47437,79c7b30a-cc56-48a9-a004-aa35803b5a43,e6329876-5ca1-4fe7-a48a-ffafdba7d52b,Eats,completed,4/24/2021 21:40,4/24/2021 21:50,4.84,1.966575417
0d13db02-93cc-4006-a0eb-52153dfb7166,c60ae986-1097-48fb-9d39-ef9e93160125,739efea2-c0fa-4d5a-8502-ca1003df867e,Eats,completed,4/30/2020 14:09,4/30/2020 15:01,7.81,2.166024959
2cd6217a-ab65-45be-afd7-9c3dee990e6c,6bcc4a60-7259-4770-9cba-f10e37d199f1,5bce7538-ddbb-4ed1-a989-ca2dbd0b6f5d,Eats,completed,10/28/2019 12:18,10/28/2019 12:32,1.99,0.446882301
95f6d380-8b55-41f3-8386-9b191ea4dc47,34b8f22c-6911-4537-b3a3-a3c2e83b4cd1,60835445-debf-4b3b-adfc-1a78cecab29d,Eats,completed,10/24/2019 18:32,10/24/2019 19:10,2.99,0.647165798
c732e9b4-8b5c-4722-99d0-d87b9e4f41d5,259c0fcc-3c91-489b-b05c-6aa136ae948b,99904c9c-d173-47c1-b13a-a153a4fcf341,Logistics,completed,11/25/2021 19:26,11/25/2021 19:30,0.43,0.046024281
8effa2bd-829e-4add-b411-0b3bad14f15e,f4ef9e68-2a7f-48d7-a8ab-e8e3fc029b06,eb15408b-7039-419b-8391-3582323f20bd,Logistics,completed,12/22/2019 17:42,12/22/2019 18:22,2.27,0.211575584
eaf5cbb9-87b8-49a1-b6a6-7dbf3cc9d7d1,6348f2ac-6462-4c4c-903b-a00159e010bf,8fb7bb83-f30d-4b77-891e-e77f91361d09,Eats,completed,4/8/2020 20:57,4/8/2020 21:52,3.58,0.869279972
