hhld_id,drvr_cnt,veh_cnt,min_age,hoh_age,max_age,avg_age,min_mon_lic,hoh_mon_lic,max_mon_lic,avg_mon_lic,cnt_yth,cnt_female,cnt_male,cnt_married,cnt_single,hoh_married,cnt_auto,cnt_mtrcyc,avg_majr_viol,cnt_majr_viol,cnt_minr_viol,avg_minr_viol,cnt_lic_susp,curnt_insurer,time_w_carr,inforce_ind,prior_bi,fire_ind,homeowner_ind,veh_lien_cnt,veh_lease_cnt,veh_own_cnt,monthly_pay_ind,veh_w_coll_cnt,veh_w_comp_cnt,veh_w_ers_cnt,curnt_bi_low,curnt_bi_upp,credit_score,zipcode
10643,2,1,46.15143338,58.80925503,58.80925503,52.48034421,361.8172006,513.7110604,513.7110604,437.7641305,0,1,1,2,0,TRUE,1,0,0,0,0,0,0,AMERICAN FAMILY,5,1,1.00E+05,0,1,NA,0,0,1,0,0,1,50,50,841.3531779,17861
5674,2,2,36.30961964,70.80148885,70.80148885,53.55555425,243.7154357,657.6178662,657.6178662,450.666651,0,1,1,2,0,TRUE,2,0,0,0,0,0,0,OTHER,5,1,25000,1,1,NA,0,2,0,1,1,1,100,100,647.795378,37564
14785,1,1,29.47540044,29.47540044,29.47540044,29.47540044,161.7048053,161.7048053,161.7048053,161.7048053,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,1,0,0,0,0,50,50,717.2517768,98079
17930,1,1,70.14224463,70.14224463,70.14224463,70.14224463,649.7069355,649.7069355,649.7069355,649.7069355,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,1,NA,0,0,1,1,1,1,25,25,578.2484451,25545
18467,1,1,16,16,16,16,0,0,0,0,1,1,0,0,1,FALSE,1,0,0,0,0,0,0,OTHER,2,1,25000,1,1,NA,0,0,0,1,1,1,50,50,575.7934266,46350
6969,1,1,36.64224565,36.64224565,36.64224565,36.64224565,247.7069478,247.7069478,247.7069478,247.7069478,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,0,0,1,1,1,100,100,713.9308538,50270
5316,1,1,55.48600272,55.48600272,55.48600272,55.48600272,473.8320327,473.8320327,473.8320327,473.8320327,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,0.5,1,25000,1,0,NA,0,1,0,1,1,1,25,25,595.8276286,83569
3678,2,2,43.46520302,48.44912755,48.44912755,45.95716529,282.0478997,389.3895306,389.3895306,335.7187152,0,1,1,2,0,TRUE,2,0,0,0,1,0.5,0,OTHER,5,1,1.00E+05,0,1,NA,0,1,1,0,1,1,100,100,842.8107396,59792
1899,1,1,23.82195467,23.82195467,23.82195467,23.82195467,93.86345601,93.86345601,93.86345601,93.86345601,0,1,0,1,0,TRUE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,0,NA,0,0,0,1,1,1,25,25,589.1288728,80696
9858,1,1,52.5328189,52.5328189,52.5328189,52.5328189,438.3938268,438.3938268,438.3938268,438.3938268,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,0,1,25000,0,1,NA,0,0,0,1,1,1,25,25,709.3232785,65163
5768,1,1,47.56635269,47.56635269,47.56635269,47.56635269,378.7962323,378.7962323,378.7962323,378.7962323,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,GEICO,3.5,1,25000,1,0,NA,0,0,0,1,1,1,250,250,710.2436681,57609
4347,1,1,46.63336739,46.63336739,46.63336739,46.63336739,367.6004087,367.6004087,367.6004087,367.6004087,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,GEICO,0.5,1,1.00E+05,0,1,NA,0,0,1,1,1,1,25,25,785.032995,84411
17678,1,1,53.69573535,53.69573535,53.69573535,53.69573535,452.3488242,452.3488242,452.3488242,452.3488242,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,5,1,250000,1,1,NA,0,0,0,0,0,0,50,50,642.6754004,19087
5198,1,1,51.23186618,51.23186618,51.23186618,51.23186618,422.7823941,422.7823941,422.7823941,422.7823941,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,5,1,50000,0,0,NA,0,0,0,1,1,1,100,100,NA,57830
16540,3,2,27.29970364,55.8431807,55.8431807,55.22129399,135.5964436,478.1181684,478.1181684,470.6555279,0,1,2,2,1,TRUE,2,0,0,0,0,0,0,GEICO,1,1,25000,1,1,NA,0,1,1,0,0,0,100,100,680.5451916,59792
16085,1,1,30.03848055,30.03848055,30.03848055,30.03848055,168.4617666,168.4617666,168.4617666,168.4617666,0,0,1,1,0,TRUE,1,0,0,0,0,0,0,AMERICAN FAMILY,2.5,1,1.00E+05,0,0,NA,0,1,0,1,1,1,50,50,NA,19380
14353,1,1,67.56278533,67.56278533,67.56278533,67.56278533,618.753424,618.753424,618.753424,618.753424,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,0,0,1,1,1,25,25,679.0774251,52074
10062,2,2,62.03989535,64.04612898,64.04612898,63.04301216,552.4787442,576.5535477,576.5535477,564.516146,0,2,0,2,0,TRUE,2,0,0,0,4,2,0,MISSING,NA,0,NA,0,0,NA,0,2,0,1,1,1,100,100,626.8970364,91928
10059,2,3,31.42094692,78.76788984,78.76788984,55.09441838,185.0513631,753.2146781,753.2146781,469.1330206,0,1,1,2,0,TRUE,3,0,0,0,0,0,0,FARMERS,5,1,1.00E+05,0,0,NA,0,0,1,1,1,0,50,50,743.6640546,54018
10849,1,1,34.50060339,34.50060339,34.50060339,34.50060339,222.0072407,222.0072407,222.0072407,222.0072407,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,1,0,0,0,0,25,25,657.4923726,23332
1953,1,1,28.11312705,28.11312705,28.11312705,28.11312705,83.74407336,22.13062212,22.13062212,22.13062212,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,0,NA,0,0,1,1,1,1,100,100,537.4364819,65789
17901,2,2,28.88127977,67.70042582,67.70042582,48.29085279,154.5753572,620.4051099,620.4051099,387.4902335,0,1,1,0,2,FALSE,2,0,0,0,0,0,0,ALLSTATE,5,1,25000,0,0,NA,0,0,1,1,0,1,100,100,850,78124
6706,1,1,30.36640411,30.36640411,30.36640411,30.36640411,172.3968493,172.3968493,172.3968493,172.3968493,0,1,0,0,1,FALSE,0,1,0,0,0,0,0,LIBERTY MUTUAL,0.5,1,25000,1,1,NA,0,1,0,1,1,1,25,25,687.903987,83031
12116,1,1,16,16,16,16,0,0,0,0,1,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,1,0,0,0,25,25,NA,15154
15977,3,1,29.21240382,64.59422159,64.59422159,61.50951461,158.5488458,583.1306591,583.1306591,546.1141753,0,0,3,0,3,FALSE,1,0,0,0,1,0.333333333,0,OTHER,5,1,1.00E+05,0,1,NA,0,1,0,0,0,0,100,100,722.8985312,70927
2356,2,2,26.31942863,57.59901999,57.59901999,41.95922431,123.8331436,499.1882399,499.1882399,311.5106917,0,0,2,1,1,TRUE,2,0,0,0,1,0.5,0,GEICO,4.5,1,250000,0,1,NA,0,2,1,1,1,1,250,250,813.2101426,44475
18727,1,1,61.55608388,61.55608388,61.55608388,61.55608388,546.6730066,546.6730066,546.6730066,546.6730066,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,5,1,50000,1,0,NA,0,1,0,1,1,1,100,100,657.2564613,52495
14488,2,2,26.13149867,74.01027527,74.01027527,50.07088697,121.577984,696.1233032,696.1233032,408.8506436,0,2,0,1,1,TRUE,2,0,0,0,0,0,0,OTHER,0.5,1,25000,0,1,NA,0,0,0,1,1,1,25,25,668.4353707,30461
14195,2,3,50.83317867,69.8222437,69.8222437,60.32771118,417.998144,645.8669243,645.8669243,531.9325342,0,0,2,2,0,TRUE,3,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,1,0,1,3,3,0,25,25,736.0054475,88728
8474,3,4,29.29824767,51.77839644,51.77839644,55.18744589,159.578972,429.3407573,429.3407573,470.2493507,0,1,2,0,3,FALSE,4,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,2,0,3,3,3,100,100,721.5585459,28035
6210,3,2,33.94580712,35.84131627,52.64060116,40.80924151,215.3496854,238.0957952,439.6872139,297.7108982,0,2,1,2,1,TRUE,2,0,0,0,0,0,0,LIBERTY MUTUAL,0,1,25000,0,1,NA,0,0,0,0,0,0,50,50,663.6459362,25433
2506,1,1,33.54332777,33.54332777,33.54332777,33.54332777,210.5199332,210.5199332,210.5199332,210.5199332,0,1,0,0,1,FALSE,0,1,0,0,0,0,0,OTHER,5,1,50000,1,1,NA,0,1,0,1,1,1,25,25,489.2950352,69015
15295,4,1,19.56175169,49.76649173,49.76649173,34.66412171,42.74102024,405.1979007,405.1979007,223.9694605,0,3,1,0,4,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,0.5,1,250000,1,0,NA,0,1,1,0,0,0,25,25,646.4764731,38537
269,1,1,60.91615727,60.91615727,60.91615727,60.91615727,538.9938872,538.9938872,538.9938872,538.9938872,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,GEICO,5,1,50000,1,1,NA,0,0,0,1,1,1,50,50,618.0421443,41568
4893,1,1,33.46745894,33.46745894,33.46745894,33.46745894,209.6095072,209.6095072,209.6095072,209.6095072,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,5,1,1.00E+05,0,1,NA,0,0,0,1,1,1,25,25,472.4983089,87035
18549,1,2,29.39559747,29.39559747,29.39559747,29.39559747,160.7471697,160.7471697,160.7471697,160.7471697,0,0,1,1,0,TRUE,2,0,0,0,0,0,0,ALLSTATE,5,1,1.00E+05,0,1,NA,0,0,1,2,2,2,25,25,554.1471735,11234
15224,1,1,21.84054371,21.84054371,21.84054371,21.84054371,70.08652449,70.08652449,70.08652449,70.08652449,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,5,1,50000,1,0,NA,0,1,0,0,0,0,50,50,723.2750514,44475
2632,1,1,41.47689862,41.47689862,41.47689862,41.47689862,305.7227835,305.7227835,305.7227835,305.7227835,0,0,1,0,1,FALSE,1,0,1,1,0,0,0,OTHER,1,1,1.00E+05,1,0,NA,0,0,0,1,1,1,25,25,442.1012248,90600
3875,2,2,39.71477051,54.36643326,54.36643326,47.04060188,284.5772461,460.3971991,460.3971991,372.4872226,0,1,1,2,0,TRUE,2,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,1,0,1,2,1,250,250,743.2255966,25545
12727,1,1,53.42443507,53.42443507,53.42443507,53.42443507,449.0932208,449.0932208,449.0932208,449.0932208,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,GEICO,4.5,1,50000,1,0,NA,0,0,1,1,1,1,250,250,669.0793532,23332
8144,1,1,18.60990148,18.60990148,18.60990148,18.60990148,31.31881778,31.31881778,31.31881778,31.31881778,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,ALLSTATE,1,1,25000,0,0,NA,0,0,1,1,1,1,100,100,NA,68294
19122,1,1,19.35578199,19.35578199,19.35578199,19.35578199,40.26938383,40.26938383,40.26938383,40.26938383,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,0,1,0,0,0,100,100,556.9816183,56335
14367,1,1,86.56560492,86.56560492,86.56560492,86.56560492,846.787259,846.787259,846.787259,846.787259,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,1,1,1,1,100,100,560.6212455,98094
6462,2,2,19.33068257,58.15163281,58.15163281,38.74115769,39.96819084,505.8195937,505.8195937,272.8938923,0,2,0,2,0,TRUE,2,0,0,0,0,0,0,ALLSTATE,5,1,25000,0,1,NA,0,1,1,2,2,2,25,25,774.334279,17861
1625,1,1,66.26392379,66.26392379,66.26392379,66.26392379,603.1670855,603.1670855,603.1670855,603.1670855,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,2.5,1,50000,0,0,NA,0,1,0,0,0,1,25,25,628.5843341,14052
15219,1,1,68.57877921,68.57877921,68.57877921,68.57877921,630.9453505,630.9453505,630.9453505,630.9453505,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,LIBERTY MUTUAL,5,1,50000,1,0,NA,0,0,0,1,1,1,50,50,636.3091028,23092
2998,1,1,45.9497832,45.9497832,45.9497832,45.9497832,359.3973984,359.3973984,359.3973984,359.3973984,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,1,0,0,1,25,25,850,19380
13780,1,1,40.17698901,40.17698901,40.17698901,40.17698901,290.1238681,290.1238681,290.1238681,290.1238681,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,0,NA,0,1,1,1,1,1,25,25,NA,59814
194,1,1,46.70949983,46.70949983,46.70949983,46.70949983,368.5139979,368.5139979,368.5139979,368.5139979,0,1,0,1,0,TRUE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,0,1,1,1,50,50,694.2554632,10012
3923,2,1,35.15646141,43.40076597,43.40076597,39.27861369,229.8775369,328.8091916,328.8091916,279.3433643,0,0,2,1,1,TRUE,1,0,0,0,0,0,0,PROGRESSIVE,0.5,1,50000,0,0,NA,0,1,0,1,1,1,50,50,746.0988077,76116
19407,2,2,46.22815373,49.19216718,49.19216718,47.71016045,362.7378448,398.3060061,398.3060061,380.5219254,0,1,1,1,1,TRUE,2,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,0,2,2,2,250,250,668.225618,79528
12201,1,1,76.40903468,76.40903468,76.40903468,76.40903468,724.9084161,724.9084161,724.9084161,724.9084161,0,0,1,1,0,TRUE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,1,0,0,0,50,50,687.2651545,66869
17155,2,1,48.31473532,58.56403082,58.56403082,53.43938307,387.7768238,510.7683699,510.7683699,449.2725969,0,2,0,0,2,FALSE,1,0,0,0,0,0,0,ALLSTATE,3,1,50000,0,1,NA,0,0,1,0,0,1,25,25,850,16107
1216,1,1,48.62338887,48.62338887,48.62338887,48.62338887,391.4806664,391.4806664,391.4806664,391.4806664,0,1,0,1,0,TRUE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,0,0,0,0,0,250,250,550.5854062,24811
15229,1,1,34.36481972,34.36481972,34.36481972,34.36481972,220.3778367,220.3778367,220.3778367,220.3778367,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,OTHER,5,1,25000,1,0,NA,0,0,1,0,0,0,100,100,845.2426601,58368
9235,1,1,42.96930546,42.96930546,42.96930546,42.96930546,323.6316655,323.6316655,323.6316655,323.6316655,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,0,1,0,0,1,25,25,656.1016674,69015
16120,2,2,38.54296682,57.7479027,57.7479027,48.14543476,270.5156019,500.9748324,500.9748324,385.7452171,0,0,2,2,0,TRUE,2,0,0,0,0,0,0,OTHER,5,1,1.00E+05,0,1,NA,0,0,0,2,2,2,25,25,662.6918861,70095
9999,1,1,38.09809709,38.09809709,38.09809709,38.09809709,265.1771651,265.1771651,265.1771651,265.1771651,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,NATIONWIDE,2,1,25000,1,0,NA,0,0,0,0,0,1,25,25,835.5212336,11234
15184,1,3,21.62493266,21.62493266,21.62493266,21.62493266,67.4991919,67.4991919,67.4991919,67.4991919,0,1,0,1,0,TRUE,3,0,0,0,0,0,0,OTHER,0,1,25000,0,0,NA,0,3,0,1,1,0,250,250,NA,59792
15676,2,1,26.1799448,58.21632405,58.21632405,42.19813443,122.1593377,506.5958886,506.5958886,314.3776131,0,2,0,2,0,TRUE,1,0,0,0,0,0,0,OTHER,1,1,25000,0,1,NA,0,0,0,1,0,1,25,25,747.8336814,89633
11675,2,2,51.53643777,53.43002514,53.43002514,52.48323145,426.4372532,449.1603017,449.1603017,437.7987775,0,1,1,2,0,TRUE,2,0,0,0,0,0,0,ALLSTATE,5,1,250000,1,1,NA,0,2,0,2,2,1,25,25,763.934519,21894
11362,1,1,51.57353676,51.57353676,51.57353676,51.57353676,426.8824412,426.8824412,426.8824412,426.8824412,0,1,0,1,0,TRUE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,0,NA,0,1,0,0,0,0,25,25,562.9341764,68294
4083,1,1,38.39797892,38.39797892,38.39797892,38.39797892,268.775747,268.775747,268.775747,268.775747,0,1,0,0,1,FALSE,1,0,0,0,1,1,0,MISSING,NA,0,NA,0,1,NA,0,1,0,1,1,1,250,250,677.0106633,15906
7999,2,3,24.57487947,66.65804875,66.65804875,45.61646411,102.8985536,607.896585,607.896585,355.3975693,0,0,2,0,2,FALSE,0,3,0,0,0,0,0,OTHER,4,1,250000,0,1,NA,0,0,1,2,2,0,100,100,578.1226176,65163
8842,1,1,57.31416994,57.31416994,57.31416994,57.31416994,495.7700393,495.7700393,495.7700393,495.7700393,0,0,1,1,0,TRUE,1,0,0,0,0,0,0,OTHER,0.5,1,50000,0,0,NA,0,0,1,1,1,1,50,50,493.9451795,52758
9119,4,4,19.27674341,25.27739354,38.28333907,30.28020377,39.32092091,111.3287225,267.4000689,171.3624453,0,2,2,0,4,FALSE,1,3,0,0,1,0.25,0,NATIONWIDE,4,1,250000,1,1,NA,0,0,0,0,0,0,250,250,617.4626471,87035
19797,1,1,54.18828797,54.18828797,54.18828797,54.18828797,401.9893098,345.719164,345.719164,345.719164,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,0,0,1,1,1,25,25,669.9395977,79528
11722,1,1,49.39590442,49.39590442,49.39590442,49.39590442,400.7508531,400.7508531,400.7508531,400.7508531,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,0,1,25000,0,1,NA,0,0,0,0,0,1,100,100,740.0189322,87884
16620,1,1,42.53855138,42.53855138,42.53855138,42.53855138,318.4626165,318.4626165,318.4626165,318.4626165,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,0,1,1,1,25,25,788.3857063,43446
1959,4,4,16,47.3497167,48.60072406,40.1377912,0,376.1966003,391.2086887,289.6534944,2,1,3,0,4,FALSE,4,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,1,0,2,2,2,50,50,584.8048893,14052
16468,1,1,33.65044613,33.65044613,33.65044613,33.65044613,211.8053535,211.8053535,211.8053535,211.8053535,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,NATIONWIDE,4,1,25000,1,0,NA,0,0,0,1,1,1,25,25,578.0831247,45689
7956,1,1,56.05826044,56.05826044,56.05826044,56.05826044,480.6991253,480.6991253,480.6991253,480.6991253,0,0,1,0,1,FALSE,1,0,0,0,1,1,0,MISSING,NA,0,NA,1,0,NA,0,1,0,1,1,1,250,250,719.278063,39952
3297,2,2,45.71103749,68.05181352,68.05181352,56.8814255,356.5324499,624.6217622,624.6217622,490.577106,0,2,0,2,0,TRUE,2,0,0,0,2,1,0,PROGRESSIVE,5,1,1.00E+05,1,0,NA,0,1,0,2,2,2,250,250,578.2676532,87035
8256,1,1,16,16,16,16,0,0,0,0,1,1,0,0,1,FALSE,1,0,0,0,0,0,0,GEICO,1.5,1,1.00E+05,1,0,NA,0,1,0,0,0,0,25,25,784.5273686,25545
14958,1,1,56.39350728,56.39350728,56.39350728,56.39350728,484.7220874,484.7220874,484.7220874,484.7220874,0,0,1,0,1,FALSE,1,0,0,0,1,1,0,PROGRESSIVE,5,1,25000,0,0,NA,0,0,1,1,1,1,100,100,400.889087,37564
5716,1,1,44.60820228,44.60820228,44.60820228,44.60820228,343.2984273,343.2984273,343.2984273,343.2984273,0,0,1,1,0,TRUE,1,0,0,0,0,0,0,FARMERS,0.5,1,250000,0,0,NA,0,0,0,1,1,1,25,25,850,74670
16441,1,1,60.19018389,60.19018389,60.19018389,60.19018389,530.2822067,530.2822067,530.2822067,530.2822067,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,0,0,1,1,1,25,25,850,17861
14571,1,1,34.62971128,34.62971128,34.62971128,34.62971128,195.0402059,166.5238764,166.5238764,166.5238764,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,LIBERTY MUTUAL,1,1,50000,0,0,NA,0,0,1,1,1,1,25,25,755.7629654,85923
19029,2,2,24.1249285,33.78867972,33.78867972,28.95680411,97.49914205,213.4641566,213.4641566,155.4816493,0,0,2,2,0,TRUE,2,0,0,0,0,0,0,GEICO,5,1,50000,1,0,NA,0,0,1,1,1,1,25,25,707.5869927,87884
3981,1,1,39.35450708,39.35450708,39.35450708,39.35450708,280.2540849,280.2540849,280.2540849,280.2540849,0,1,0,0,1,FALSE,1,0,0,0,2,2,0,PROGRESSIVE,2,1,25000,0,1,NA,0,1,0,0,0,1,25,25,439.6643485,65163
15199,1,1,34.45574012,34.45574012,34.45574012,34.45574012,221.4688814,221.4688814,221.4688814,221.4688814,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,FARMERS,0.5,1,25000,0,1,NA,0,0,1,1,1,1,100,100,618.7519248,10012
12575,1,1,63.05445253,63.05445253,63.05445253,63.05445253,564.6534304,564.6534304,564.6534304,564.6534304,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,5,1,250000,1,1,NA,0,0,0,1,1,1,50,50,681.1752565,54018
8440,2,1,30.28656555,45.65208941,45.65208941,37.96932748,171.4387866,355.8250729,355.8250729,263.6319297,0,2,0,2,0,TRUE,1,0,0,0,0,0,0,LIBERTY MUTUAL,4,1,1.00E+05,0,1,NA,0,0,1,0,0,0,25,25,850,81525
